channelName,classification,ownership
KVOS+,US Conventional,Memorable Entertainment Television
Russian (ABC),US Specialty,n/a
Star East US,US Specialty,n/a
Sunshine Net,US Specialty,n/a
WTBD,US Specialty,n/a
NASA,US Specialty,Nasa
CSPAN 1,US Specialty,National Cable Satellite Corporation
NFL Network,US Specialty,National Football League
Bravo US,US Specialty,NBC Universal
CNBC,US Specialty,NBC Universal
Golf+,US Specialty,NBC Universal
Home Team Sports,US Specialty,NBC Universal
KARE+,US Conventional,NBC Universal
KHQ+,US Conventional,NBC Universal
KING+,US Conventional,NBC Universal
MSNBC US,US Specialty,NBC Universal
OLN US,US Specialty,NBC Universal
Sci Fi,US Specialty,NBC Universal
USA Network,US Specialty,NBC Universal
WDIV+,US Conventional,NBC Universal
WGRZ+,US Conventional,NBC Universal
WPTZ+,US Conventional,NBC Universal
New Tang Dynasty,US Specialty,New Tang Dynasty
KCTS+,US Conventional,PBS
KSPS+,US Conventional,PBS
WCFE+,US Conventional,PBS
WETK+,US Conventional,PBS
WNED+,US Conventional,PBS
WTVS+,US Conventional,PBS
Weather US,US Specialty,Pelmorex Media Inc.
Weather+,Specialty,Pelmorex Media Inc.
Sun News+,Specialty,Quebecor Media
TVA Sports+,Sports,Quebecor Media
bio+,Specialty,Rogers Media
City Calgary (CKAL)+,Conventional,Rogers Media
City Edmonton (CKEM)+,Conventional,Rogers Media
City Ontario (CITY)+,Conventional,Rogers Media
City Total,Conventional,Rogers Media
City Vancouver (CKVU)+,Conventional,Rogers Media
FX Canada+,Specialty,Rogers Media
G4+,Specialty,Rogers Media
OLN+,Specialty,Rogers Media
OMNI 1 Ontario (CFMT)+,Conventional,Rogers Media
OMNI 2 Ontario (CJMT)+,Conventional,Rogers Media
OMNI BC (CHNM)+,Conventional,Rogers Media
OMNI Calgary (CJCO)+,Conventional,Rogers Media
Omni Edmonton (CJEO)+,Conventional,Rogers Media
Sportsnet East+,Sports,Rogers Media
Sportsnet National+,Sports,Rogers Media
Sportsnet Ont+,Sports,Rogers Media
Sportsnet Pac+,Sports,Rogers Media
Sportsnet West+,Sports,Rogers Media
Sportsnet360+,Sports,Rogers Media
SportsnetOne+,Sports,Rogers Media
City News Channel+,Specialty,Rogers Media
HGTV US,US Specialty,Scripps Networks Inc.
Travel US,US Specialty,Scripps Networks Inc.
Action+,Specialty,Shaw Media
BBC Canada+,Specialty,Shaw Media
BC1+,Specialty,Shaw Media
Deja View+,Specialty,Shaw Media
diy network+,Specialty,Shaw Media
Food Network+,Specialty,Shaw Media
Fox News Canada,US Specialty,Shaw Media
Fox Sports Canada,Sports,Shaw Media
Global BC (CHAN/CHBC)+,Conventional,Shaw Media
Global Calgary (CICT/CISA)+,Conventional,Shaw Media
Global Edmonton (CITV)+,Conventional,Shaw Media
Global Ontario (CIII)+,Conventional,Shaw Media
Global Reality Channel+,Specialty,Shaw Media
Global Total,Conventional,Shaw Media
